X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
4.1321928011539555e-6,0.011644786693954546,0.0024430850706628035,0.003559665822060243,0.02469143852911665,0.003222633273170495,9.824980800199334e-5,4.380549725464714e-5,3.769377298905585e-4,8.265363560090766e-4,1.768016895498964e-4,1.9734534897025945e-5
1.892315647807526e-6,3.1772336553387797e-4,6.919491414303369e-5,2.7605743550235083e-4,2.161982501916891e-4,0.001182158459588393,2.3660194497732157e-5,5.374951632108882e-6,1.2340111000533125e-5,1.5648891303105778e-4,1.3120630393603783e-5,2.0692160595658927e-5
4.4895702833169793e-7,7.244267720785125e-4,3.0414395886246837e-6,5.743225679861477e-6,2.820813617403988e-5,2.2341985806184627e-5,8.75934910275814e-6,5.930426335107875e-6,1.370657051225077e-5,2.0653271907145054e-6,2.6789691136563927e-6,2.251609047965838e-7
4.818330340887501e-6,8.752620065755751e-4,0.9983908253646742,0.11744586130803786,0.46306575095545255,0.003825064193960337,0.10224499544368015,0.008588398934308968,0.008575399404298079,0.016313366953863484,0.002767057038181871,0.0030970745194499475
3.615159022141157e-8,1.5608992149832664e-6,2.3920719351286368e-4,0.0021941748183439413,0.0016724281730770008,0.00764559986511304,8.215228642727977e-4,7.120082615206247e-4,2.50855940218424e-4,1.2446094808260533e-4,7.577289179580004e-5,1.428440922200834e-6
2.7406345771474605e-5,0.050335316553360786,0.0028933328790075263,0.005154318794442858,4.878033490207656e-4,7.019684601617229e-4,3.152289177392742e-4,0.0012256558336786183,6.319434682756642e-4,1.3321701262303254e-4,1.4584584086763108e-5,1.3739977211265695e-5
5.5421593246298187e-8,1.5230365225660236e-6,0.001785415857101241,0.00994656047239302,0.00218138975096653,0.020223612972787495,0.002639767413200711,3.51116629381254e-5,0.0011776761682814607,0.002275676472846544,3.5509342841702885e-5,7.415904206177955e-5
1.291877233835781e-4,0.03280751720634345,0.0018891079831684378,0.0093825188754937585,0.0012843229850723697,0.002487876745742565,3.277921450883792e-5,0.0017125833134342574,3.3479520528056916e-4,1.9068075991372318e-5,3.734357313248065e-4,1.3571201651907394e-4
1.0260767379252995e-5,0.009327841175626128,0.09866174655259786,0.6058871229781915,0.08209183938449682,0.025577145555905623,0.007502699109304494,0.05391283968365712,1.944577785516488e-4,2.535986065244078e-4,1.976184053165131e-5,1.1915489561697967e-7
4.5654627226499045e-6,0.0015012466138465694,0.8789090189510568,0.061466330898731145,0.00307044333830897,0.0022959609803372256,0.002661992299212823,4.032053839001391e-4,4.1791653290446096e-4,2.587268779663532e-5,1.1187148487902994e-6,4.304661908038909e-7
6.754027824631924e-8,0.003243021599548035,0.0038514668626787874,6.286035118066609e-4,5.949054594653891e-4,3.5688385902510333e-05,5.3021090579149656e-5,2.2413937288856545e-5,6.6834426947492975e-6,8.907529595592045e-6,3.1479524965627448e-6,9.30365031348579e-7
1.0901429608843286e-5,0.0015983483997357077,0.012823575079716142,0.013194868167446527,0.016319303197916496,0.0044677170131907085,0.001372348319808102,1.8044012349111014e-5,1.1581137245608719e-4,4.355738161667794e-5,3.681337289828054e-5,2.7447400035018887e-6
