,run,seed,beta,phi,phiT,phiU,deltaS,gH,gF
82679,82679,-1669412786.0,0.185753,0.149128,0.066021,0.216466,0.165264,0.056755,0.465264
82750,82750,1072734738.0,0.183051,0.04548,0.127835,0.197375,0.715029,0.019964,0.464027
82894,82894,880791174.0,0.178826,0.10565,0.079419,0.218912,0.119752,0.035251,0.12467
83059,83059,-436763933.0,0.185133,0.102207,0.035858,0.293887,0.649397,0.017957,0.435678
83111,83111,-158359379.0,0.165094,0.205939,0.035939,0.338111,0.578784,0.04244,0.132814
83206,83206,762817514.0,0.249295,0.086689,0.086415,0.168508,0.578991,0.025224,0.325928
83958,83958,-2105214323.0,0.195123,0.183591,0.03222,0.411958,0.934696,0.044427,0.384208
84023,84023,-1808781833.0,0.173471,0.053024,0.113092,0.133465,0.051033,0.022915,0.349128
84039,84039,-1984826697.0,0.194925,0.072823,0.128024,0.261684,0.220255,0.058769,0.121654
84783,84783,1654526385.0,0.180996,0.067755,0.113152,0.195584,0.45817,0.029631,0.39771
84805,84805,233262986.0,0.184842,0.066869,0.126055,0.306629,0.62039,0.038385,0.255386
84837,84837,-348270422.0,0.164096,0.110056,0.045954,0.247055,0.672142,0.023373,0.31394
85130,85130,2033736537.0,0.175276,0.102106,0.079878,0.365348,0.60997,0.059677,0.166304
85156,85156,1669478978.0,0.159966,0.082501,0.09559,0.310506,0.522311,0.057812,0.420448
85616,85616,-164470350.0,0.244662,0.161518,0.021298,0.244959,0.994093,0.01185,0.23613
85739,85739,-457009954.0,0.150022,0.095643,0.052741,0.279859,0.68441,0.026547,0.41419
85882,85882,256728078.0,0.191462,0.189188,0.042366,0.15793,0.0981,0.030482,0.193726
85908,85908,1941339525.0,0.176083,0.137372,0.082971,0.116744,0.204637,0.043766,0.219061
86142,86142,1163974669.0,0.171157,0.095269,0.080008,0.218873,0.318529,0.043248,0.444871
86202,86202,-462453875.0,0.165277,0.058656,0.133517,0.231635,0.45249,0.033806,0.296758
86313,86313,-1640230696.0,0.188469,0.177999,0.030459,0.336239,0.469107,0.047754,0.31096
86355,86355,-2061616247.0,0.152724,0.087567,0.04878,0.310648,0.917604,0.030635,0.378947
86573,86573,388561267.0,0.185874,0.123685,0.072567,0.222907,0.586431,0.04109,0.365378
86575,86575,-1454945365.0,0.169334,0.092177,0.047509,0.256668,0.454821,0.016791,0.232963
86898,86898,733392814.0,0.160688,0.059941,0.127107,0.366554,0.698225,0.033313,0.102556
87074,87074,-737548199.0,0.154995,0.080008,0.081296,0.209044,0.428366,0.048601,0.332305
87303,87303,-1136341254.0,0.202533,0.162913,0.05163,0.146157,0.107825,0.031355,0.142567
87789,87789,-1587841393.0,0.207151,0.129846,0.032397,0.31509,0.874474,0.016907,0.259618
87871,87871,-1189694504.0,0.204232,0.12225,0.069436,0.268446,0.421343,0.056272,0.416993
88357,88357,-1877971878.0,0.171824,0.05346,0.104823,0.296719,0.286605,0.040111,0.416928
88601,88601,-736974247.0,0.177188,0.036473,0.140047,0.443407,0.902643,0.030898,0.177162
88816,88816,69276413.0,0.176182,0.045729,0.113887,0.286588,0.659875,0.023352,0.4875
88987,88987,810313977.0,0.145929,0.046071,0.12169,0.3444,0.674383,0.03684,0.355751
89131,89131,-369214532.0,0.167548,0.086556,0.085489,0.149537,0.170765,0.029431,0.337556
89693,89693,-1171481305.0,0.184455,0.29465,0.027003,0.205067,0.177918,0.039808,0.37587
89713,89713,-240304122.0,0.153229,0.052953,0.121585,0.217968,0.587898,0.034545,0.411556
90003,90003,853882770.0,0.180612,0.10082,0.087068,0.239585,0.440781,0.052567,0.429689
90413,90413,-111127414.0,0.170125,0.186885,0.053819,0.237805,0.099863,0.04594,0.235952
90602,90602,-2047237617.0,0.151389,0.044764,0.133504,0.414094,0.825595,0.051527,0.463091
90933,90933,-451295186.0,0.194376,0.235354,0.026286,0.310243,0.646453,0.041473,0.208336
91292,91292,-719454923.0,0.194615,0.109757,0.06127,0.241433,0.478788,0.02883,0.131881
91491,91491,1898456533.0,0.154422,0.083099,0.064627,0.396692,0.960102,0.028685,0.195596
91843,91843,-1707554397.0,0.159006,0.12741,0.075134,0.11288,0.171622,0.043253,0.469222
91884,91884,364269098.0,0.233857,0.203366,0.046287,0.199166,0.271377,0.056416,0.364194
91918,91918,-1636771843.0,0.184796,0.152336,0.038503,0.431735,0.674516,0.059067,0.190633
92674,92674,-1538375062.0,0.140637,0.060283,0.127236,0.200647,0.447696,0.021142,0.134586
92727,92727,2094912114.0,0.186876,0.28415,0.017355,0.416584,0.955697,0.025525,0.181328
92766,92766,-1424610815.0,0.170065,0.178613,0.024562,0.411605,0.840039,0.029761,0.140692
92978,92978,-1421571994.0,0.179007,0.084491,0.072141,0.353901,0.807153,0.035506,0.429275
93208,93208,-2006213149.0,0.18034,0.265243,0.03751,0.153282,0.339635,0.039649,0.26066
94213,94213,806891381.0,0.185437,0.075171,0.092306,0.215036,0.512808,0.034495,0.256768
94231,94231,940842971.0,0.175547,0.043205,0.098295,0.324762,0.593619,0.020415,0.270887
94411,94411,999611625.0,0.160745,0.074613,0.119336,0.173265,0.113727,0.035077,0.212027
94733,94733,-1005321144.0,0.179238,0.076583,0.12044,0.18775,0.318411,0.043265,0.41089
94871,94871,-349849751.0,0.190028,0.086063,0.086224,0.280097,0.173722,0.055885,0.115187
95784,95784,1043652793.0,0.172636,0.107924,0.055277,0.410267,0.760249,0.046646,0.300953
95847,95847,-1225488363.0,0.18574,0.082315,0.145501,0.106986,0.035233,0.059586,0.31357
96005,96005,-441323671.0,0.206389,0.144509,0.050252,0.220398,0.161823,0.041843,0.180586
96628,96628,452694861.0,0.177983,0.156377,0.063655,0.229629,0.253246,0.045024,0.233791
96634,96634,-40259911.0,0.163087,0.16047,0.050468,0.207622,0.049479,0.04221,0.11194
96645,96645,-1059736652.0,0.182741,0.066748,0.123649,0.33064,0.545617,0.047512,0.464077
97381,97381,744018157.0,0.201615,0.094218,0.062537,0.268575,0.750634,0.027681,0.436739
97386,97386,-178691721.0,0.187238,0.132391,0.046442,0.371435,0.562739,0.039642,0.131883
97448,97448,-931303901.0,0.200631,0.153051,0.059458,0.191716,0.26176,0.059129,0.477382
97668,97668,941291225.0,0.162101,0.084833,0.062404,0.194001,0.77039,0.023953,0.389001
97745,97745,321018776.0,0.160535,0.052662,0.103032,0.348929,0.581918,0.047697,0.222078
97747,97747,-1433656389.0,0.161854,0.069367,0.098727,0.281907,0.273712,0.041542,0.260482
98034,98034,1057317379.0,0.176048,0.043001,0.101835,0.343231,0.884722,0.032721,0.412335
98606,98606,2078871281.0,0.158535,0.064625,0.116511,0.199378,0.654959,0.028669,0.379713
98837,98837,611203930.0,0.179299,0.102591,0.056595,0.272945,0.436344,0.049292,0.356144
98920,98920,-678852278.0,0.207614,0.042274,0.148484,0.233389,0.871598,0.031408,0.397742
99475,99475,352133907.0,0.221379,0.298951,0.027152,0.116872,0.17555,0.026157,0.160587
99529,99529,920880940.0,0.173002,0.062518,0.138969,0.132638,0.002202,0.038577,0.458026
99905,99905,804675647.0,0.214828,0.077442,0.108965,0.341938,0.787221,0.055273,0.380316
