,run,seed,beta,phi,phiT,phiU,deltaS,gH,gF
21316,21316,-711903221.0,0.254579,0.202156,0.029972,0.208769,0.287793,0.02125,0.141825
21922,21922,-448541394.0,0.170115,0.071982,0.080065,0.148077,0.086098,0.017018,0.133817
22831,22831,-1073269831.0,0.17449,0.098842,0.069214,0.31125,0.403299,0.04703,0.278218
23115,23115,1271444248.0,0.177268,0.170874,0.02451,0.273849,0.812755,0.022693,0.489769
23475,23475,1347404977.0,0.206638,0.244947,0.023264,0.439602,0.805126,0.028755,0.124933
23527,23527,-1376412613.0,0.165917,0.126922,0.063418,0.30776,0.733259,0.038481,0.220624
24076,24076,1134658661.0,0.1817,0.162983,0.052732,0.211576,0.005068,0.055568,0.253793
24083,24083,542149712.0,0.171581,0.209952,0.036234,0.350373,0.880124,0.025633,0.10012
24115,24115,-1981107276.0,0.211027,0.259244,0.043879,0.100647,0.015831,0.051329,0.420878
24665,24665,-2058799932.0,0.18371,0.07313,0.059703,0.363474,0.972537,0.030843,0.28862
25400,25400,1696527778.0,0.146842,0.053122,0.109447,0.280132,0.324747,0.044538,0.173547
25464,25464,163368459.0,0.180682,0.095739,0.07019,0.287029,0.254087,0.041872,0.340055
25679,25679,-799309883.0,0.239472,0.201585,0.040557,0.282514,0.370093,0.038675,0.249939
26219,26219,-1074988078.0,0.189569,0.092425,0.062155,0.21016,0.359745,0.028523,0.227667
26482,26482,-805685294.0,0.166893,0.053375,0.14258,0.29113,0.549467,0.034725,0.482055
26528,26528,313644938.0,0.151806,0.047494,0.146729,0.169574,0.44088,0.047773,0.458627
26871,26871,1262208015.0,0.15856,0.063759,0.112107,0.199474,0.170138,0.040725,0.492481
26956,26956,-1597556076.0,0.186342,0.186195,0.032843,0.174943,0.024556,0.03189,0.220428
27078,27078,-115667259.0,0.193756,0.095868,0.070963,0.167635,0.480411,0.021836,0.139932
27083,27083,238145253.0,0.200003,0.130751,0.047576,0.332229,0.848969,0.029086,0.143414
27557,27557,1657531920.0,0.172938,0.180186,0.040257,0.362968,0.438098,0.042081,0.28332
27592,27592,-1898660618.0,0.164767,0.135142,0.048327,0.278411,0.455336,0.035723,0.259098
27823,27823,1243396433.0,0.177458,0.070898,0.12621,0.288446,0.57861,0.044111,0.4582
28082,28082,1290619484.0,0.163427,0.109571,0.063843,0.225139,0.302652,0.049301,0.172399
29249,29249,71700960.0,0.185902,0.089797,0.080372,0.277284,0.142275,0.048744,0.271438
30130,30130,1248025400.0,0.207589,0.060407,0.117595,0.314639,0.707844,0.04795,0.437991
30322,30322,111458783.0,0.185441,0.067596,0.081452,0.317525,0.658265,0.031094,0.356019
30455,30455,-1227837398.0,0.161123,0.098879,0.068507,0.202821,0.452593,0.022747,0.1167
30745,30745,-653691605.0,0.173611,0.296119,0.021179,0.222973,0.171652,0.023922,0.117334
30973,30973,1640256213.0,0.231512,0.063493,0.110863,0.321649,0.369504,0.053082,0.338997
31469,31469,-1819927987.0,0.200616,0.152521,0.052092,0.263401,0.655677,0.044214,0.49649
31636,31636,-348883772.0,0.144098,0.027843,0.104399,0.328927,0.973965,0.012371,0.131869
32225,32225,1528238861.0,0.163389,0.043832,0.11499,0.327983,0.673182,0.041041,0.144154
32335,32335,1703177396.0,0.150678,0.045339,0.128712,0.256516,0.29716,0.046487,0.393606
32403,32403,1088369836.0,0.167804,0.167118,0.042388,0.364159,0.561825,0.054158,0.465424
32578,32578,-659138386.0,0.173846,0.062606,0.140596,0.173555,0.200428,0.026788,0.164865
32828,32828,-1121649419.0,0.149089,0.068557,0.096316,0.328264,0.574943,0.053368,0.289568
32840,32840,754874098.0,0.150982,0.025963,0.132329,0.331717,0.67965,0.028951,0.393047
32891,32891,1529934532.0,0.154127,0.054249,0.116675,0.317373,0.590609,0.032848,0.488372
33109,33109,1623868540.0,0.175761,0.218577,0.047158,0.206853,0.393898,0.052859,0.137226
33145,33145,-1431132487.0,0.141818,0.050059,0.114946,0.179593,0.565508,0.027605,0.151993
33432,33432,-1562649354.0,0.205919,0.148829,0.042412,0.249829,0.120387,0.049915,0.246504
33550,33550,-574831227.0,0.18024,0.170315,0.04466,0.271393,0.507189,0.0467,0.241434
33573,33573,-1331350525.0,0.216962,0.272464,0.023848,0.364825,0.67679,0.033154,0.258296
34425,34425,-493039980.0,0.176981,0.042114,0.113695,0.245592,0.175015,0.027279,0.408149
35189,35189,666854471.0,0.170503,0.146909,0.055061,0.357372,0.783584,0.045054,0.376666
