id indoors taxonomy IndustryID
250 1 Entertainment 3
251 1 Entertainment 3
252 1 Entertainment 3
253 1 Entertainment 3
254 1 Entertainment 3
255 1 Entertainment 3
256 1 Entertainment 3
257 1 Entertainment 3
258 1 Entertainment 3
259 1 Entertainment 3
260 1 Entertainment 3
261 1 Entertainment 3
262 1 Entertainment 3
263 1 Entertainment 3
264 1 Entertainment 3
265 1 Entertainment 3
266 1 Entertainment 3
267 1 Entertainment 3
268 1 Entertainment 3
269 1 Entertainment 3
270 1 Entertainment 3
271 1 Entertainment 3
272 1 Entertainment 3
273 1 Entertainment 3
274 1 Entertainment 3
275 1 Entertainment 3
276 0 Entertainment 3
277 1 Entertainment 3
278 0 Entertainment 3
279 1 Entertainment 3
280 1 Entertainment 3
281 1 Entertainment 3
282 1 Entertainment 3
283 1 Entertainment 3
284 1 Entertainment 3
285 1 Entertainment 3
286 0 Entertainment 3
287 1 Entertainment 3
288 0 Entertainment 3
289 0 Entertainment 3
290 1 Entertainment 3
291 1 Entertainment 3
292 1 Entertainment 3
293 0 Entertainment 3
294 1 Grocery 15
295 1 Grocery 15
296 1 Grocery 15
297 1 Grocery 15
298 0 Grocery 15
299 1 Grocery 15
300 1 Grocery 15
301 1 Grocery 15
302 1 Grocery 15
303 1 Grocery 15
304 1 Grocery 15
305 1 Grocery 15
306 1 Grocery 15
307 1 Health 7
308 1 Health 7
309 1 Health 7
310 1 Health 7
311 1 Health 7
312 1 Health 7
313 1 Health 7
314 1 Health 7
315 1 Health 7
316 1 Health 7
317 1 Health 7
318 1 Health 7
319 1 Health 7
320 1 Health 7
321 1 Health 7
322 1 Health 7
323 1 Health 7
324 1 Health 7
325 1 Service 11
326 1 Service 11
327 1 Service 6
328 1 Service 15
329 1 Service 11
330 1 Service 11
331 1 Service 11
332 1 Service 1
333 1 Service 6
334 1 Service 3
335 1 Service 3
336 1 Service 15
337 1 Service 9
338 0 Service 11
339 1 Service 15
340 1 Service 6
341 1 Service 7
342 1 Service 6
343 1 Service 6
344 1 Service 7
345 1 Service 12
346 1 Service 5
347 1 Service 15
348 1 Service 11
349 1 Service 11
350 1 Service 2
351 1 Service 15
352 1 Service 6
353 1 Service 1
354 1 Service 15
355 1 Service 11
356 0 Service 15
357 0 Service 15
358 1 Service 15
359 1 Service 15
360 1 Service 15
361 1 Service 1
362 1 Service 1
363 1 Service 1
364 1 Service 6
365 1 Service 11
366 1 Service 11
367 1 Service 12
368 1 Service 11
369 1 Service 1
370 1 Service 3
371 1 Service 11
372 1 Service 1
373 1 Service 16
374 1 Service 11
375 1 Service 15
376 1 Service 11
377 1 Service 15
378 1 Service 11
379 1 Service 15
380 1 Service 15
381 1 Service 12
382 1 Service 11
383 1 Service 16
384 1 Service 14
385 1 Service 2
386 1 Service 14
387 1 Service 14
388 1 Service 11
389 1 Service 16
390 1 Service 11
391 1 Service 15
392 1 Service 16
393 1 Service 11
394 1 Service 11
395 1 Service 11
396 1 Service 2
397 1 Service 2
398 1 Service 12
399 1 Service 11
400 1 Service 11
401 1 Service 1
402 1 Service 3
403 1 Shopping 15
404 1 Shopping 15
405 1 Shopping 15
406 1 Shopping 15
407 1 Shopping 15
408 1 Shopping 15
409 1 Shopping 15
410 1 Shopping 15
411 1 Shopping 15
412 1 Shopping 15
413 1 Shopping 15
414 1 Shopping 15
415 1 Shopping 15
416 1 Shopping 15
417 1 Shopping 15
418 1 Shopping 15
419 1 Shopping 15
420 1 Shopping 15
421 1 Shopping 15
422 1 Shopping 15
423 1 Shopping 15
424 1 Shopping 15
425 1 Shopping 15
426 1 Shopping 15
427 1 Shopping 15
428 1 Shopping 15
429 1 Shopping 15
430 1 Shopping 15
431 1 Shopping 15
432 1 Shopping 15
433 1 Shopping 15
434 1 Shopping 15
435 1 Shopping 15
436 1 Shopping 15
437 1 Shopping 15
438 1 Shopping 15
439 1 Shopping 15
440 1 Shopping 15
441 1 Shopping 15
442 1 Shopping 15
443 1 Shopping 15
444 1 Shopping 15
445 1 Shopping 15
446 1 Shopping 15
447 1 Shopping 15
448 1 Shopping 15
449 1 Shopping 15
450 1 Shopping 15
451 1 Shopping 15
452 1 Shopping 15
453 1 Shopping 15
454 1 Shopping 15
455 1 Shopping 15
456 1 Shopping 15
457 1 Shopping 15
458 1 Shopping 15
459 1 Shopping 15
460 1 Shopping 15
